iter	Passed	Remaining
0	234	234026
1	288	143907
2	339	112683
3	383	95474
4	424	84532
5	461	76435
6	500	70942
7	536	66575
8	574	63292
9	611	60534
10	653	58739
11	687	56608
12	724	54983
13	759	53506
14	796	52330
15	833	51282
16	883	51070
17	914	49916
18	948	48955
19	979	47972
20	1014	47283
21	1049	46638
22	1081	45927
23	1112	45235
24	1145	44665
25	1174	44012
26	1204	43400
27	1235	42881
28	1265	42380
29	1296	41926
30	1329	41542
31	1359	41129
32	1390	40754
33	1423	40456
34	1456	40156
35	1489	39890
36	1522	39627
37	1554	39357
38	1588	39130
39	1618	38854
40	1650	38603
41	1681	38361
42	1712	38103
43	1742	37866
44	1774	37655
45	1805	37452
46	1836	37246
47	1867	37030
48	1897	36821
49	1928	36633
50	1959	36454
51	1990	36296
52	2022	36129
53	2053	35972
54	2085	35824
55	2116	35671
56	2146	35513
57	2178	35379
58	2208	35228
59	2240	35106
60	2271	34970
61	2301	34823
62	2332	34690
63	2363	34561
64	2393	34423
65	2424	34306
66	2454	34179
67	2486	34083
68	2517	33965
69	2547	33838
70	2578	33732
71	2607	33610
72	2637	33492
73	2667	33377
74	2700	33306
75	2730	33198
76	2764	33141
77	2798	33077
78	2829	32990
79	2860	32899
80	2891	32810
81	2922	32722
82	2955	32647
83	2986	32562
84	3019	32503
85	3049	32413
86	3080	32324
87	3109	32223
88	3138	32124
89	3168	32041
90	3198	31951
91	3228	31860
92	3258	31778
93	3287	31686
94	3317	31602
95	3348	31530
96	3377	31442
97	3411	31397
98	3441	31321
99	3472	31251
100	3506	31212
101	3538	31154
102	3572	31110
103	3608	31092
104	3642	31051
105	3676	31008
106	3709	30956
107	3741	30898
108	3770	30823
109	3802	30767
110	3831	30686
111	3860	30609
112	3889	30533
113	3920	30469
114	3960	30475
115	3991	30414
116	4024	30371
117	4055	30316
118	4086	30255
119	4115	30182
120	4144	30107
121	4172	30024
122	4202	29965
123	4231	29897
124	4261	29828
125	4291	29764
126	4321	29708
127	4353	29659
128	4382	29592
129	4413	29537
130	4446	29496
131	4477	29444
132	4508	29393
133	4540	29340
134	4570	29287
135	4600	29229
136	4631	29175
137	4661	29116
138	4690	29054
139	4719	28992
140	4753	28960
141	4783	28901
142	4811	28834
143	4842	28784
144	4872	28731
145	4902	28677
146	4931	28618
147	4962	28567
148	4994	28524
149	5023	28466
150	5053	28412
151	5083	28360
152	5112	28302
153	5144	28259
154	5175	28212
155	5203	28153
156	5234	28106
157	5265	28057
158	5293	27998
159	5323	27950
160	5354	27900
161	5383	27849
162	5414	27800
163	5442	27743
164	5470	27684
165	5500	27635
166	5531	27592
167	5562	27549
168	5598	27528
169	5627	27476
170	5657	27428
171	5687	27378
172	5719	27340
173	5751	27305
174	5782	27261
175	5812	27213
176	5842	27163
177	5870	27108
178	5901	27068
179	5936	27043
180	5969	27009
181	6000	26969
182	6030	26925
183	6061	26882
184	6089	26826
185	6120	26784
186	6150	26738
187	6180	26693
188	6209	26644
189	6239	26599
190	6269	26553
191	6299	26509
192	6329	26466
193	6360	26424
194	6390	26382
195	6420	26338
196	6448	26284
197	6478	26243
198	6507	26193
199	6538	26154
200	6571	26124
201	6600	26073
202	6628	26022
203	6656	25973
204	6687	25935
205	6720	25901
206	6750	25861
207	6780	25816
208	6811	25777
209	6839	25729
210	6869	25687
211	6897	25639
212	6927	25594
213	6955	25548
214	6987	25510
215	7018	25475
216	7048	25434
217	7079	25395
218	7108	25349
219	7139	25311
220	7169	25271
221	7199	25231
222	7230	25194
223	7262	25158
224	7290	25111
225	7319	25066
226	7347	25021
227	7380	24989
228	7412	24954
229	7442	24916
230	7474	24881
231	7502	24835
232	7532	24796
233	7563	24759
234	7595	24726
235	7640	24735
236	7673	24702
237	7705	24669
238	7734	24626
239	7763	24584
240	7793	24543
241	7820	24496
242	7850	24455
243	7879	24412
244	7907	24368
245	7938	24331
246	7969	24295
247	7998	24254
248	8028	24215
249	8059	24177
250	8087	24134
251	8117	24094
252	8149	24060
253	8180	24027
254	8209	23983
255	8239	23946
256	8269	23906
257	8298	23865
258	8327	23824
259	8356	23785
260	8389	23754
261	8419	23715
262	8448	23675
263	8479	23639
264	8509	23602
265	8538	23561
266	8565	23516
267	8593	23471
268	8631	23456
269	8661	23419
270	8697	23396
271	8729	23364
272	8771	23359
273	8806	23332
274	8836	23294
275	8867	23262
276	8899	23229
277	8930	23193
278	8963	23162
279	8991	23120
280	9027	23098
281	9057	23062
282	9088	23027
283	9117	22986
284	9146	22947
285	9177	22912
286	9208	22876
287	9237	22837
288	9267	22799
289	9297	22762
290	9327	22724
291	9355	22683
292	9383	22643
293	9412	22603
294	9444	22570
295	9474	22534
296	9504	22497
297	9534	22461
298	9564	22424
299	9594	22388
300	9623	22348
301	9655	22315
302	9686	22283
303	9716	22244
304	9746	22210
305	9780	22181
306	9810	22145
307	9838	22105
308	9868	22068
309	9900	22035
310	9930	21999
311	9959	21962
312	10000	21950
313	10028	21909
314	10058	21872
315	10085	21830
316	10116	21797
317	10146	21759
318	10175	21722
319	10206	21688
320	10239	21658
321	10267	21618
322	10296	21580
323	10329	21551
324	10364	21526
325	10397	21497
326	10434	21474
327	10469	21450
328	10503	21421
329	10545	21411
330	10591	21407
331	10640	21410
332	10693	21419
333	10737	21410
334	10774	21388
335	10818	21378
336	10851	21349
337	10884	21318
338	10919	21290
339	10952	21261
340	10986	21231
341	11021	21204
342	11053	21171
343	11085	21140
344	11117	21107
345	11152	21080
346	11183	21046
347	11222	21026
348	11257	20999
349	11289	20965
350	11321	20932
351	11351	20897
352	11388	20873
353	11426	20852
354	11465	20832
355	11503	20809
356	11543	20791
357	11579	20765
358	11610	20731
359	11641	20696
360	11674	20665
361	11710	20638
362	11744	20609
363	11778	20580
364	11813	20552
365	11847	20522
366	11882	20495
367	11914	20462
368	11946	20428
369	11980	20399
370	12014	20370
371	12049	20340
372	12083	20311
373	12114	20277
374	12152	20253
375	12185	20222
376	12217	20189
377	12250	20157
378	12283	20126
379	12318	20098
380	12355	20074
381	12392	20049
382	12431	20026
383	12469	20002
384	12501	19969
385	12533	19936
386	12568	19907
387	12603	19879
388	12639	19852
389	12678	19829
390	12716	19806
391	12755	19783
392	12794	19760
393	12833	19738
394	12874	19718
395	12911	19692
396	12946	19664
397	12984	19640
398	13024	19618
399	13063	19594
400	13106	19578
401	13148	19559
402	13190	19539
403	13246	19542
404	13309	19553
405	13350	19532
406	13393	19514
407	13431	19488
408	13473	19468
409	13528	19468
410	13564	19438
411	13599	19408
412	13631	19374
413	13667	19345
414	13699	19311
415	13732	19278
416	13767	19248
417	13807	19225
418	13853	19209
419	13886	19176
420	13923	19148
421	13954	19112
422	13988	19080
423	14022	19049
424	14056	19018
425	14087	18981
426	14120	18948
427	14154	18916
428	14188	18884
429	14220	18851
430	14250	18813
431	14281	18777
432	14311	18740
433	14341	18702
434	14371	18666
435	14400	18627
436	14431	18593
437	14460	18554
438	14489	18516
439	14519	18479
440	14547	18440
441	14580	18407
442	14614	18374
443	14644	18338
444	14675	18303
445	14707	18268
446	14737	18232
447	14766	18193
448	14796	18157
449	14829	18124
450	14861	18090
451	14893	18056
452	14925	18022
453	14954	17985
454	14981	17945
455	15010	17906
456	15039	17869
457	15070	17835
458	15100	17797
459	15129	17760
460	15161	17727
461	15191	17690
462	15222	17655
463	15251	17618
464	15284	17585
465	15314	17549
466	15344	17512
467	15373	17475
468	15401	17437
469	15430	17400
470	15460	17364
471	15490	17328
472	15519	17290
473	15549	17255
474	15577	17217
475	15608	17182
476	15638	17146
477	15667	17109
478	15695	17071
479	15728	17039
480	15756	17001
481	15785	16964
482	15815	16928
483	15845	16892
484	15873	16855
485	15901	16817
486	15933	16784
487	15963	16748
488	15992	16711
489	16021	16675
490	16051	16639
491	16080	16603
492	16109	16566
493	16140	16532
494	16174	16501
495	16203	16465
496	16233	16429
497	16262	16392
498	16293	16358
499	16326	16326
500	16359	16294
501	16390	16259
502	16418	16222
503	16447	16186
504	16478	16152
505	16508	16116
506	16538	16081
507	16569	16047
508	16603	16016
509	16633	15981
510	16662	15944
511	16692	15909
512	16720	15872
513	16749	15836
514	16778	15801
515	16808	15766
516	16838	15731
517	16867	15695
518	16898	15661
519	16927	15625
520	16957	15590
521	16985	15553
522	17014	15518
523	17045	15484
524	17075	15449
525	17106	15415
526	17135	15379
527	17164	15344
528	17195	15309
529	17224	15274
530	17255	15240
531	17287	15207
